RequestID,EFSCD,Project Status,Comments:
AYCA-48OYT0,28/02/2019,Completed,"06/07 - LIC ready, comms room ready, issues with design, hopefully have something sorted 09/07
09/07- Unable to contact
10/07- Unable to contact
17/07- Still working with NBN regarding termination point, waiting for approval for a comms rack.
25/07- Installing a comms cabinet, electrician to let us know when it is on site
03/08 - No change
03/08- Comms cabinet and pathway ready 
15/08- Requires another site visit to confirm civil requirements
31/08 - Waiting on ROL should be ready by WS 03/09
21/09 - Comms cabinet actually not ready as per dev.
07/03- Internals complete
14/03- Blockage identified on route in new footpath, waiting for ROL to try and flush
02/05- Blockage is actually buried pit filled with concrete. need to do 8m trench through new footpath to link."
AYCA-2LCFXK,22/02/2019,Completed,"07/09 - Ordered materials. Awaiting for LAANs. Require site visit
16/11- Multiple blockages identified, will possibly require new build
18/01- Awaiting ROL, applied for 14/01
11/02- Requires extensive new build
22/03- Waiting for renewed ROLs
28/03- Vac unit scheduled for 01/04
04/04- Waiting for ROL
11/04- Still waiting on ROLs
18/04- Sceduled to commence new build on 29/04
02/05- Civils 50% complete, Splicing to commence WS 13/05"
AYCA-5ENHJH,,Completed,
AYCA-5ETO6E,,Completed,"06/11 - Waiting on CLAANs for V2 of build which encompasses a second build
06/11 - RRP the whole routes,
09/11- Waiver received
23/11- Hauling completed, scheduled for splicing week starting 03/12
30/11- Pushed out  to week starting 10/12
06/01- PC pending new Workbook"
AYCA-5F0TZX,,Completed,"08/08 - Quote provided to NBN
15/08 - Project issued to DT, LAANs commence 24/08
16/08- Commence work as soon as LAANs commence "
AYCA-5FA5OM,01/06/2018,Completed,"07/09 - Waiting for Externals to complete
28/09- Awaiting certified pathway approval
02/10- Notify developer before coming for internals as units are now occupied
09/02- Waiting for residents to contact to complete installation in units 1 and 2"
AYCA-5FA5OM,01/06/2018,Completed,"28/08 - Materials ordered, CLAAN requested, Contact details requested, PON Patching SOW received
31/08 - Dev already installed lead-in, waiting on NBN response regarding slight change in design
07/09 - NBN picked up council/dev issue, require site meeting before civil commencement - TBC on site meeting
12/09 - Confirm pits link and route
13/09- Organise site meeting with Council and NBN - Confirm dev final street levels, confirm
20/09 - Scheduled for complete 28/09
04/10 - Field completion today, PC today"
AYCA-5FCHOB,,Completed,"29/01- Multiple blockages identified
09/02- pits located, blockages remaining
11/02- Blockages cleared
19/02- Kinked cables whuilst hauling, waiting for new cables to arrive
02/03- Change to design, need to re-route already hauled cables
07/03- Reverted back to original design, hauling to recommence over the weekend"
AYCA-5FCMYJ,,Completed,"18/01- Waiting for LAANs
18/01- Confirm lead in capacity"
AYCA-5FE5LS,20/12/2018,Completed,"15/08 - Materials ordered. LAAN requested, contact details requested, site visit required, PON Patching requested
18/10 - Issues with obtaining TCP. Received 17/10. Ready to commence 19/10 - also CTL not installed, will check if can test and coil and request NBN
25/10- Advised we cannot test and coil as CTL location has not been confirmed. Civils and 2x MSS hauls completed. Remob required for 3rd MSS haul
09/11- Waiting on NBN confirmation to CTL location
30/11- Haul completed, splicing outstanding
06/01- Sheduled to re-commence 07/01/2019"
AYCA-5FJLCJ,,Completed,"09/02- Hauling scheduled week startiong 11/02
19/02- Hauling commencing this week
08/03- Splicing to commence WS 18/03"
AYCA-5BOGUB,22/02/2019,Completed,
AYCA-5GPSWE,,Completed,"13/08 - LAAN start 28/08, late application, requested NBN for waiver to start asap
16/08- Waiver approved, ise visit confirmed breakout of new footpath required, awaiting developer contact to confirm LIC location. 
17/08 - Schedule for civils 20/08, Copper term 21/08"
AYCA-5GWBTB,,Completed,"16/10 - Require to order materials, can commence after 23/10
23/10- Scheduled for RRP later in week"
AYCA-5HY3IQ,,Completed,"18/01- Waiting for LAANs
19/02- Hauling to commence WS 25/02
08/03- Splicing to commmence WS 18/03"
AYCA-5K2YBV,21/06/2019,In Construction,"09/11- LAANs and contact requested, materials ordered
23/11- Deatails given to contractor, will schedule site visit shortly
14/12- Developer not ready until March
12/04- Drill shot complete"
AYCA-5IWI3A,,Completed,"26/09 - Ordered materials, requested LAANs
28/09- Still waiting on LAANs
05/10 - Issues with Queen St route, new build 150m
09/10 - New build approved by Michael P. need revised LAANS Civils to commence WS 15/10,  splicing WS 22/10
23/10- Scheduled to start  29/10"
AYCA-397TA7,08/02/2019,Completed,"06/07 - Road works delay, site no where near ready, 06/07
26/07: Follow up on the 13th of August
03/08 - No change
16/08 - There is relocation works of all assets in the area which is why lead-in conduit from dev not completed yet. They are still waiting for Jemena site assessment. At this stage they will not commence work till end of August.
07/09 - End of September.
11/10- No relocation works strarted yet, council still to approve. atleast another month
09/11- Gas has been rellocated but still waiting on EL and Telstra. advised 3 weeks
22/1- Ertan advises needs to be done this year
14/12- Still with Ertan and NBN, no change
06/01- Still waiting on developers pit and pipe
18/01- No change
07/03- Relocation works complete
12/03- Aerial relocation work did not get completed all the way down the street
22/03- Proposal sent through
28/03- RRP fro alternate route due today
04/04- Awaiting Council response regarding waiver.
18/04- Scheduled to commence 29/04
02/05- Civils underway, expected to be finished early next week"
AYCA-5JYO3A,,Completed,"02/11- Tesltra new build confirmed. Ok to schedule for next week
08/11- Hauled, just needs to be jointed"
AYCA-4H8EZO,07/02/2019,Site Visit,
AYCA-5KDIAQ,02/02/2019,Completed,"14/11- materials ordered, waiting on LAANs
15/11- Action on Ertan to advise on parent site completion
22/11- Parent site complete, advised by Ertan in meeting, Ertan wants it in this year
23/11- Unable to contact
01/12- Questions regarding design sent to Ertan
14/12- Haul complete, splicing outstanding"
AYCA-5KPEKH,29/03/2019,Completed,"23/11- Request put in for CRQ
27/11- CRQ pending for 17/12
01/03- CRQ booked for 11th March"
AYCA-5L49UP,10/09/2018,Completed,"18/10 - Ertan chased up on site visit
25/10- Hauling completed, link up complete, splicing outstanding"
AYCA-4VH4MG,04/02/2019,Completed,"20/07 - Materials ordered, pending site visit
24/07- No comms room or LIC. Developers electrician thinks there is no comms room. need to clarify. Electrician George 0411199884. Needs another site visit to confirm A end. Scaff not due to come down for a few months.

03/08 - no change
25/10- Scaff not due to come down until Feb 2019. 
01/02- Scaff due down in three weeks
15/02- Scaff down in two weeks and LIC to be brought out
07/03- Unable to contact electrician
14/03- Scaff down, LIC to be built next week. footpath not due for a while
02/05- Link up complete, 2 pairs confirmed to have been inactive, now room in P20 conduit to haul our cabes"
AYCA-5M4R4N,03/01/2019,Completed,"16/11- LIC brought out, waiting for comms room to be built, advised this would be ready on the 26th
23/11- Pushed out another week
01/12- Pushed out again, advised will call on Tuesday or Wednesday for an update
14/12- No change
11/01- Waiting for meter box to be installed
18/01- Civils complete
15/02- 4 blockages identified, scheduled in to clear week starting 18/02"
AYCA-5M84RG,,Completed,
AYCA-5MG99P,28/01/2019,Completed,"23/11- Waiting on LAANs, project is urgent
11/01- Scheduled week starting 21/01"
AYCA-5MG99P,28/01/2019,Completed,11/12- Advised site is ready for internals and externals
AYCA-5MGOY8,28/01/2019,Completed,11/01- Scheduled week starting 21/01
AYCA-5MGOY8,28/01/2019,Completed,
AYCA-5MHAO7,14/01/2019,Completed,"16/11- Materials ordered

23/11- Hauling complete
01/12- Developer advises that Telstra is to build new network to development, and will leave NBN a conduit
11/01- No NBN conduit was left, requires 2m link up between Telstra pit and internal pit for new NBN duct.
18/01- Waiting response from developer to see if he can install new lead in 
01/02- Civils and haul scheduled week starting 04/02
09/02- Splicing to be complete on Monday"
AYCA-5ML96W,,Completed,"04/10 - Pending to request LAANs
12/10- Materials ordered"
AYCA-5ML96W,,Completed,"04/10 - Pending to request LAAN
12/10- Still awaiting to receieve MW pack
18/10 - Ertan advised possibly occupied in next 2 weeks
19/10- Still waiting for a response from NBN regarding external MW pack
25/10- No change
01/11- Docs received shedule in for next week RRP
08/11- Scheduled in for week starting 12/11
"
AYCA-5MNUDQ,18/08/2018,Completed,"23/08 - Requested if dependent site built
28/08 - Survey laan sent, 5/09 will be the survey
11/09 - Attended issues access to comms room, left card 07/09
23/10- 2 end users adequately served ie scotch locked to internal cat 6 cable
23-10- PC NEEDS SUBMISSION BY 21/11/2018 AT LATEST
16/11- Blockages identified on route
30/11- Attempting to push spare pairs to development side of blockage
06/01- In consultation with NBN regarding potential defects for PCD location 
11/01- Waiting for a response from FS
18/01- Requires site visit"
AYCA-5MWJQ4,31/10/2018,Completed,"14/11- Dependant projcet in service, materials ordered, waiting on LAANs
16/11- LAANs pending with LASE
27/11- LAANs receieved
01/12- Haul complete"
AYCA-5N0IF2,22/08/2018,Completed,"30/08 - Under Design, Survey to be done 05/09
11/09 - Survey done 06/09, FIR submitted
25/09 - No feedback yet on FIR
16/10 - Shankar responded on FIR feedback
30/11- No change
11/01-Hauling scheduled week starting 14/01
18/01- Haul complete, requires splicing"
AYCA-5NB7OP,,Completed,04/03 - Haul scheduled WS 04/03
AYCA-5NM0LP,25/01/2019,Completed,"12/11 - Requested ROL due to Burwood Rd. From photos, looks link concrete cut, 7-10m concrete cut P50 link up to TLS 5 Pit. Advised footpath works pending
12/11 - Karsten attended site: confirmed best is to drop 5 Pit over existing P50. Confirmed with developer 
12/11  -appropriate area to drop, better than breaking out concrete 7m. Proving up the street to road crossing 2pit and 2 pit
12/11 - Confirming with Chemel if able to bring back fencing so make room for pedestrians while crew installs pit
13/11 - Chemel confirmed can pull back fence line for pedestrians. No Third party TC required. Confirm with Chemel one day prior to arriving onsite
16/11- Awaiting ROL
14/12- Haul complete, splicing commenced
06/01- PC pending new Workbook"
AYCA-3E5O97,06/01/2019,In Construction,"06/07 - Site back up and running, contact in a month from 02/07 for update. contact harry 0420480303
03/08- Call in another 3 weeks 
23/08- Comms room ready, conduit not yet brought to boundary, advised to call in one week and project manager will have a date organised with electrician
05/09- Follow up with electrician on 12/09
14/09- Follow up 17/09
21/09 - No framing up. Early stages. 1 month follow up
07/03- LIC to be brought out to boundary ws 11/03
04/04- New build reqiured, need Jemena stand by to locate gas main
09/05- No change"
AYCA-5PBMZD,18/09/2018,Completed,"11/01- Materials delivered, scheduled tentativelly for week starting 28/01/2019
18/01- Pushed out to week starting 04/02
22/01- Pushed out to week starting 18/02 to make way for Mudgee"
AYCA-5PIMJX,22/10/2018,Completed,"16/11- Dependent DFN nbuild not yet approved by NBN. Tentative  DFN build completion date is end of Januray
22/11- PC mid February depending on DFN
13/12- Internals due mid Jan
09/02- Civils completed, blockage outstanding pending with Council
07/03- Waiting for response from NBN regarding pathways"
AYCA-5BXBTE,04/06/2018,Completed,"26/07 - Material order request sent, site visit required. Request for PON Patching details and LAAN. 6th of August start of the LAAN
02/08 - Waiting FJL to be installed, ETA Nov 2018. 2 Blockages on the route.
09/08-  Linked developer pipe, installed SDS from MPT to premise. 2x Blockages outstanding
17/08 - Waiting on Ertan to confirm Parent Site build completion - ETA Dec 2018
11/10- DJL's built, waiting on FJL, advised this will be soon
18/10 - Early november FJL installation
01/11- Ertan to follow up 
15/11- DP not running on schedule. possible that we need to build it
29/11- On hold
06/12- Due March
13/12- No change
06/01- No change
18/01- A end ready, schedule for week starting 21/01
09/02- Issues with HDODF rack, waiting for answers from NBN
15/02- No change"
AYCA-4F75OS,17/08/2019,In Design,"28/03- NDD submitted 11/03
04/04- DDD submitted 02/04
16/04- Awaiting NBN DDD approval
07/05- No change"
AYCA-4QNRBL,,Completed,"28/03- NDD submitted 11/03
04/04- DDD submitted 02/04
12/04- Materials ordered 639917
15/04- Scoped, A end manhole seems to be buried, ROL applied for incase we have to escavate 
15/04- DDD approved
18/04- Civils and haul scheduled 18/04"
AYCA-4RS6QG,23/11/2019,In Design,"28/03- NDD submitted 08/03
15/04- DDD Submitted 11/04, awaiting response
02/05- Heritage exemption submitted today
31/05- Exemption approved"
AYCA-EV5EP,31/05/2019,Completed,"01/12- Still awaiting LAANs
06/02- LAANs commence 19/02"
AYCA-4W57Z3,23/11/2019,In Design,"16/04- Awaiting DDD
07/05- DDD submitted 03/05
31/05- Site 4-5 months away"
AYCA-2L9FVY,,Completed,"19/12- lead in pit to boundary will be crossing multiple services and not to depth, potentially better option to drop new pit middle of development, cable tray to comms room. End of Jan footpath to be poured. Needs ROL and night work
11/01- ROL applied for
15/02 - Followed up with ROL/TCP. Possible night works. Followed up on CLAAN
27/02 - ROL received, lead-in ready, comms ready, PDH not installed, Matt (Elec) having meeting with Steve Austin, will mention about PDH install for External to haul splice; Ertan advised
05/03 - Pending PDH install and partial comms pathways Tentative start night works 25/03. Developer OK with access, confirm closer to date
15/03 - Brett will advise if PDH installed and internal tray ready Monday
30/03 - lead-in connected, required 2 nights due to lots of services in area, services shallow, require concrete encase, pavers, required to install pit to reduce trench due to pavers and services
02/04 - External hauling to commence today
23/04 - booked splicing 06/05
06/05 - Rack RU30 is not ready, no cables coming out of it.
21/05 - Cable to be hauled approx 170m to DJL, designer to send spatial map of Hornsby # to DJL route
23/05 - Haul 30/05, splice 31/05, PC 05/06
01/06 - Confirming pit location OK within 8m of substation"
AYCA-2PNFXD ,,Completed,"29/01 - Ordering materials, commencement 12/02/2019
19/02 - Civil works commence yesterday, waiting on ROLs for road cuts, hopefully by 22/02. Need to notify council
28/02 - Civils 40% complete, pending 2 road crossings ROL for council notification approval. Relocate 2 DJL-205 and DJL-209
05/03 - Pending ROL
12/03 - Pending ROL, relocating DJL, confirming route. On Track
12/03 - Request on commencement of hauling
16/03 - 40% hauled
30/03 - scheduled road crossing works 03/04, other road crossing complete, "
AYCA-33L9HP,,Completed,"22/08 - Currently in Design Stage - Survey started 22/08
23/10 - CBD blockages fixed, hauled DSS 53,54,56,58. Waiting on Telstra response regarding rack allocations . ETA mid November Ordered cable drum, no confirmation on ETA, this is for 1650m length. Tunnel access waiting for approval Telstra
30/10 - All blockages completed, all hauling completed except for DSS-57 (waiting on 2k drum) and DSS-51 (rack allocation), tunnel access approved.
06/11 - Waiting on Telstra rack allocation / Tunnel access approve / Civils complete / Blockages complete / Hauling complete except for the cable coming from Exchange
13/11 - Confirmed rack allocation for 1 x 72F, we will be hauling this and to commence the splicing next week.
20/11 - Ontrack
27/11 - Ontrack for PC 30/11/2018"
AYCA-40TCKL,,In Construction,"16/02 - Materials ordered, LAAN received, Dependency In Service. Requires site visit.
04/03 - Site visit update:
- P100 starters in place
- construction material all over the front require removing before commence
- building fence line is in front of the manhole and pits
- Internal pathway not ready
- Comms room not ready
30/03 - Met with Jack onsite, require replace ACM pit and link 2 x P100 from dev, dev will move construction material around WS 08/04, will need to double check before deploying crew
02/04 - No change
05/04 Tentative booked for later next week, pending on Jack to have area ready
23/04 - Conduit installlation complete, acm pit removal tentative 05/06
01/05 - Booked in for ACM Pit removal and upgrade plus link up on 06/05/2019
07/05 - Pit upgrade in progress
11/05 - Blockages in route, mainly construction material in manholes and ducts, require vac unit to clean through. Using ROL of Richard Crookes in the first instance
21/05 - Vac unit proved 90% of route, from DJL to 6 PIT difficult, another attempt 22/05
01/06 - ROL confirmed and dig down WS 03/06"
AYCA-41FBT3,,In Construction,"21/02 - Joshua advised approx 23/03 ready to go (to have lead-in ready where Karsten advised, comms room ready), saved MT number
22/03 - Scheduled night works 25/03/2019
02/04 - Site not ready
23/04 - Design change occurred confirmed by josh, ripped out lead-in and rebuild the front. Will need site visit to confirm changes. Tentative civil schedule WS 06/05
02/05 - Touched base with Joshua, advised will be ready by Tuesday 07/05, will perform site visit before civil works, doesnt need to be night works
11/05 - Blockages in route, mainly construction material in manholes and ducts, require vac unit to clean through. Using ROL of Richard Crookes in the first instance
14/05 - Tentative vac unit scheduled 
21/05 - Vac unit proved 90% of route, from DJL to 6 PIT difficult, another attempt 22/05
01/06 - ROL confirmed and dig down WS 03/06"
AYCA-4A46K7,,Completed,"25/07 - Materials received
23/08 - RRP completed 18/07
23/08 - Blockages and civil road crossing to be rectified, blockages also rectification works 29/08
04/09 - Commenced hauling on sections: DSS-053,DSS-055,DSS-057,DSS-059 = approx 1753m, Splicing will be able to commence early next week - On track
11/09 - Need to find out if we can bring the lead-in to property boundary, work with electrician to find suitable location so we can bring this one in end of Sept
25/09 - Confirmed civils pit upgrade 26/09, remaining hauling to be completed by 27/09
05/10 - Currently splicing remaining joints
10/10- Developer doing driveways, lead in conduits not yet complete 
19/10- Unable to contact
26/10- Scheduled week starting 29/10"
AYCA-4DW3WX,,Completed,"09/11- LAANs and contact requested
19/02 - Additional materials ordered patch cords and Vasko Require site visit
26/02 - Site visit by scoper identified developer brought lead-in to Lords Ave, no network present there, Steve Austin advised 4 times to bring it out there. Developers words only. We have advised to bring out to Pacific Hwy, they will advise when available.
03/03 - Advised NBN, will follow up with developer to see when available
05/03 - Back onto developer, follow up required when corehole ready
11/03 - Civils complete and hauled up to the new 5 Pit installed lead-in pit. Waiting on developer to install new cable trays"
AYCA-4HTS7R,14/12/2018,Completed,"""06/07 - Revising LAANs for bore shot across Richmond Road 03/08 - No change 14/08- Still awaiting response from NBN, follow up on Friday 09/11- Quote to be finalised 13/11 for drill shot 16/11- Still waiting to receiev quote 18/01- Driller pushed out until mid Feb""
08/03 - P&P certificate complete - Require to scope, site now
01/04 - Booked in Gas Standby Day works 18/04/2019 08:00AM, booked driller on the day. Also transmission will need to be advised 4 days prior to drill works
01/05 - Drill shot completed, require pit install and link up to site, booked in 08/05
07/05 - ROL in, require book night crew start next week to link bore pipe)
11/05 - Scheduled 13/05 night work"
AYCA-4IIZWC,07/06/2019,Completed,"06/07 - Attended site, obtained contact details, site manager advised still at least 6 months out from 29/06. Starting to put staffolding around site. Only started base.
26/07: No Change
03/08 - no change
15/03 - Developer advised lead-in conduit ready for 20/03, Vasko to arrive after to check site readiness
30/03 - developer said will move a section of scaffold for us, will advise when done
01/05 - Developer contacted advising scaffold section remove by thursday. booked in tentative 07/05, advised council and letterbox drop for night works already
11/05 - Link up completed, route not ready, tentatively scheduled WS 20/05
21/05 - No call back from developer, probably not ready
23/05 - Confirmed by developer, all set, haul and splice WS 27/05"
AYCA-4IIZWC,,Completed,"23/10 - Design 60%
06/11 - Design handed in 02/11, waiting for feedback
20/11 - Ordered materials 16/11, ROL requested, Blockage dig down commence 28/11
27/11 - No change, blockage dig down commence 28/11
04/12 - Blockage commenced, civils commenced, require to locate DJL location on leg DSS-057 due to services and trees, only 38m back. Reflect as builts. New builds also may be required due to coming across thick tree roots covering ducts. Crews unable to access dig down block location due to tree roots covering area. New build may be required, will advise
05/12 - 2 more blockages to go.
06/12 - Civil build solution complete on Park Rd Naremburn
11/12 - 2 more blockages to go which were done at night due to CBD location of St Leonards. Waiting feedback if successful. Hauling is commencing tomorrow.
17/12 - Civil build performed on Northcote St, Naremburn through blockages blockage in middle of road at road-about, busy cbd area, likely broken conduit due to water works, engage with council to notify, likely works to commence mid next year (also ROL road, has been applied)
20/12 - More civil build required on 78-82 Northcote St, Naremburn (blockage under footpath drain)
08/01 - Schedule crew onto night works to perform dig down into road blockage Christie st/Chandos st - likely late this week
15/01 - Civils complete with blockage rectification in Chandos St rectified. Conduit looked to be damaged by the works carried out by Water. Asphalt "
AYCA-4PEEEK,,Completed,"27/11 - DDD 30% complete by design
08/01 - Ordering materials today
18/01 - Civil commenced 17/01, Bowden St P100 success, checking DJL locations to be relocated
19/02 - Blockage in the middle of road, require TC night works, hauling to be completed after blockage
07/03 - Blockage rectified tonight, 2 DJL relocation, 1 pit install Monday 11/03, rehaul after
12/03 - Splicing commenced and ODF termination complete,  relocating 3 DJLs, blockage second section in road thursday, pushed PC
16/03 - Blockage has been postpone due to weather, major safety concern even with light rain, shift to 20/03 opening of no rain. 2 more pit installs for DJL relocation
25/03 - Blockage rectified late last week, hauling this week with splicing to follow, revised 
30/03 - Splicing remaining "
AYCA-4QDZCA,30/08/2019,Developer Delay,"15/06 - Pending material order and Site Visit
17/07- Materials ordered, needs site visit
20/07 - Site boarded up, only base of structure complete, very early stages, A end DJL exist, route not proven but looks straight forward, lead-in will be corehole into lead-in M/H. Contact obtained - Chris 0466901510
26/07: No Change
03/08 - no change
12/10- Developer advises they wont be ready until next year, follow up in December
23/04 - Site visit performed, P50 currently being used to run temp power for site. Comms room not ready. Builder confirmed ready approx July/August"
AYCA-4WB37J,,Completed,"23/10 - RRP 50%
31/10 - Sent through high level design to request ROL to speed things up
06/11 - 90% design completion. Issuing construction LAANs with 
13/11 - Performing a walkout with NBN FS Tony, Damien, Shankar, for new builds / blockages
20/11 - Requested for TCP from Traffic Management
27/11 - Blockage dig down commenced on Fitzpatrick Ave and Bantry Bay Rd. This weekend performing dig down on Oxford Falls Rd and TC
04/12 - Dig downs continuing on blockages, working through 23 dig downs, completed 30%, new build required DSS-060 leg
11/12 - New build required on DSS-060, waiting confirmation from council to commence, sensitive council flagged. Will wait for outcome before commencing
17/12 - continuing with blockages, once completed, new civil build requirements provided onto one CLAAN to council
08/01 - Revised CLAAN sent for 3 construction areas required, can re-commencement 22/01
19/02 - Church OK for driveway cut, performed today, hauling finalising next week 
12/03 - Splicing to be completed 14/03, PC on track. 
16/03 - Delayed due to LL portion not hauled/spliced
19/03 - Mark will advise on progress
02/04 - No change
09/04 - Confirm other DJL to Mark and advise to give date"
AYCA-4WGB20,,Developer Delay,"17/02 - Materials ordered, LAAN received. Dependency following up. Site visit performed 04/12. Site visit identified ground still being excavated and form work"
AYCA-4XIVYZ,,Completed,"29/01 - Ordering materials, commencement 12/02/2019
19/02 - Need to potentially relocate DJL on Illawarra Rd, Marrickville CBD, no stop lane, main road, not a good location.
Pit replacement requires gas standby, booking gas.
12/03 - ROL received, commence hauling on this week
16/03 - Gas standby booked 04/04, DJL shifted to Calvert St, Haul 50%
26/03 - Forecast to complete 18/04 before Anzac day
01/05 - Mark asking Planning Team regarding RU32, followed up"
AYCA-4ZNBL1,,Completed,"23/10 - Materials ordered, ROLs requested. Tunnel access issue underneath M2
30/10 - Heritage impact on 7 blockage dig downs (2 x dss runs = 1700m). Some in driveways, footpaths and one next to a Devlins creek. Heritage exemption has been checked with NBN LASA and now have engaged with council heritage point of contact.
Works that can progress:
- 8 blockage dig downs
- 8 DSS cable runs
- road crossing
- 8 pit install for relocation of DJL-056
06/11 - Civil works commencing this week with blockages, heritage exemption request sent through to council. Rack allocation is also completed. Council approval end of this week.
13/11 - Identified civil works on Norfolk Rd, approx 70m of build. Express duct is the terracotta pipe which has no cables, blockages identified crushed pipe, alternative is all congested with copper cable - Impact is DSS-053 and DSS-054. Slight delay with council still waiting on heritage exemption.
20/11 - Civils 90% complete, Hauling commenced today on Beecroft Rd
27/11 - Malton Rd 1 alternative route continue provinf today: 50% success so far, civils on Malton Rd 2 complete, not required to breakout driveway, P100 grundy complete and install 8 Pit for joint
04/12 - Canal blockage following up today, road crossing malton road commencing this week, looking at splicing to commence by end of this week
11/12 - 67m of new build required in conservation area of Cheltenham, advised council waiting on response for approval. This may push out field completion.
17/12 - New build in heritage: Datateks to provide arborist report and get back to council working with nbn lasa team
Canal blockage rectified on Friday, require to haul splice the rest bar DSS/DJL-062, likely to have that splice by mid next year
07/01 - DSS-059 scheduled to be hauled later in the week to align with night works haul with 2FRE-61.
Conservation heritage area Cheltenham, council advised no DA application required and ROP with Arborist report required. Sent this off today.
Finish off the splicing next week except for heritage area.
07/03 - Commenced prep for heritage works. Vac truck booked for non destructive, hand dig by civil crew, TCP required for location stop/go"
AYCA-512UVL,,Completed,"10/12 - Ordered materials. Could not complete order, requesting order access from NBN supply.
Onsite meeting TBC
12/12 - Ordered all materials with the MX6 confirmed bundle
08/01 - Crew attended but cannot drill through corehole to electrical switch room, as the core will be in the above room. New revised plan to be sent and checked with building manager (advised building manager)
18/01 - Approved redesign, building pathway 19/01
25/01 - Pathway built, splicing commitment WS 04/02
28/02 - Integration booked 08/03
16/03 - Integration complete, cut over booked 03/04
01/05 - Complete"
AYCA-52924C ,11/12/2019,Developer Delay,01/05 - Site visit indicated that it is no where near ready for construction. EFSCD change to Dec-19
AYCA-578FAA,,In Construction,"17/02 - Materials ordered and received, LAAN received, Dependency is 231 Miller St, another DTKS project
23/04 - Site visit confirmed that site is approx 6 months behind schedule. Site not ready to perform scoping"
AYCA-59DV6W,,Completed,"21/08 - Materials ordered.
31/08 - 04/09 - Dig down and repairs will commence, hauling 06/09
04/09 - Hauling to commence 04/09
14/09 - Splicing started 11/09
18/09 - 5/6 DJL's completed, last DJL proposed relocation, NBN field services approved"
AYCA-5E7TWE,,Completed,"20/01 - Ordering materials, commencement 06/02/2019
29/01 - confirmed 8 sections of long duct runs which require vacing out the water and blowing the duct to get rope through. Final solution to dig down midpoint
19/02 - Dig downs 2 completed so far
12/03 - status: 40% hauling complete (144F cables) 2 more blockages, 1 dig down long run
26/03 - 80% hauling, on track splicing and PC comp
02/04 - remaining 20% hauling on menai rd to be completed this week, splicing ready 08/04
05/04 - Scheduled night haul 8-9/04
09/04 - Night haul "
AYCA-5FEXSP,,Completed,"23/10 - RRP to be completed today, Design 40%
06/11 - 80% completion on design
27/11 - Tomorrow possible submission, 95% complete
17/12 - Ordered materials, ready to start 07/01/2019, will request ROL's start of next year
20/12 - 80% of the hauling can commence immediately, Gas standby on 3 blockages requesting next year
08/01 - Commenced hauling of 576F - 11 DSS runs are ready to be hauled,
Show stoppers: HP gas standby required on 3 blockage locations, crew today will have another attempt before requesting for HP gas standby
19/02 - Cable chamber access, approx 1 month to get it. Only thing pending left, splicing can commence
05/03 - Relocation of 3 joints required. New pit installs and impacting 3 rehauls:
•	535m of 576F Rehaul on DSS-054
•	300m of 576F Rehaul on DSS-057
•	500m of 576F Rehaul on DSS-061
•	400m of 72F Rehaul on DSS-062
07/03 - Pit installs completed by 11/03
26/03 - On track to PC 29/03/2019"
AYCA-5FHXRP,,Completed,"15/10- Materials ordered
23/10- Blockages and possible new build required. Dates will need to be revised
05/11- New build proposal approved, awaiting new LAANs
23/11- No change
30/11- Booked in tentatively for Thursday, pending council waiver
14/12- NBN put hold on due to council concerns about construction standards
06/01- Awaiting response from council
08/11- Conntaced Bruce from Council who will look at site tomorrow and get back to us with aqpproval
11/01- No contact from council, unable to reach Bruce on phone
09/02- Road crossing complete, blockage in EUs front yard outstanding"
AYCA-5KAX1D ,,Completed,"25/02 - Site meeting with council and resident
Obtained the OK from housing for 35 Burrundulla
Obtained the OK from council, will need provide access to empty land
Taken dilap photos of area, broken footpath prior to our works
NBN FS questioning about Comms pits/duct being used, will get back to us. Cannot commence until field advises
28/02 - New drill shot build, need amend design, CLAAN revise sent"
AYCA-5KDV96,,Completed,"28/02 - Pending material order as we require Project Number
Contractor advised they have all the materials ready to build,
09/03 - Pending CLAAN, followed up with Mary and Mark
12/03 - Followed up on 
19/03 - Attending 04/04/2019, PC 06/04/2019
14/05 - CRS"
AYCA-5LC14Q,,Completed,"19/10- Waiting for LAANs
15/02 - CLAAN received 25/10
19/02 - Require site visit, scheduled for Vasko 4th on list
27/02 - Organising with Ben with our crews to have inducted, need to discuss if we can find alternative day next week due to scheduled works on Monday. Hoarding in approx 7m to the link up inside the development, liaising with developer
23/04 - Require to rectify defect of cable tie. Developer to arrange scissor lift that works on ramp, developer to advise when it is available
14/05 - Scissor lift available to confirm for Thursday 16/05"
AYCA-5MQHDT,,Completed,"18/01- Haul scheduled week starting 21/01
24/01- Mulitple blockages and missing network 
09/02- Majority of network found, two pits remaining, required locator
19/02 - Still missing 1 pit, due back 20/02 to go out and find pit and haul"
AYCA-5OZYD0,,Completed,"30/11 - Waiting for confirmation of Gas Standby to perform civils.
04/12 - Confirming with Jemena when Site Contact/Standby available to commence with civils
10/12 - Ian advised this will be pushed out till next year. Unable to confirm when
13/12 - No Change
18/01 - Simon advised good to schedule 20/03.
12/03 - Confirmed with Simon to commence 4th and 5th april for 7am start
01/05 - Jemena advised 14/05 07:00AM available
11/05 - Reattending to finish off haul/splice 14/05"
