Item ID,Item Description,Unit of Measure (UoM),"Total per Unit 
($/UOM)",
,Test Cable Pairs ,PER PAIR,$16.50,
,Large 31D /Extra Large Joint Enclosure on Pole,each,$148.50,
,Dexgreen 10pr Lead In Enclosure,each,$82.50,
,Insert 2 Pair cable into existing openable joint,Per cable,$16.50,
,"Insert additional cable/s into  Openable Joint, 10,30 & 50pr",port,$93.50,
,Install shroud and support bar for PVC openable joints (both sizes),each,$14.30,
,"Install Openable Heat Shrink Joint Small, OJ",each,$148.50,
,"Install Openable Heat Shrink Joint Large, OJ",each,$187.00,
,"Install Openable Heat Shrink Joint Extra Large, OJ",each,$247.50,
,Insert additional cable/s into Dexgreen/HSOJ/PVC joint closure,port,$86.90,
,Install Openable Clamp Small Large or Xlarge,per Clamp,$17.93,
,Install Epoxy Resin Core Block,each,$60.50,
,Install Epoxy Resin Sheath Seal,each,$67.10,
,Dexgreen Extra Small,each,$129.80,
,Dexgreen Small New Work,each,$154.00,
,Dexgreen Small Maintenance,each,$165.00,
,Dexgreen Large,each,$170.50,
,Dexgreen Large - Maintenance,each,$187.00,
,Dexgreen Extra Large,each,$253.00,
,Insert additional cable/s into Dexgreen Closure ? Small/Large/Extra Large,port,$74.80,
,Installation of approved Sealant into HSOJ or PVC joint where required,each,$52.80,
,In Line Joints,,,
,Supply and install Branch Kit for Additional Cable (Small) XAGA 550 BOKT - 5S,each,$24.20,
,Supply and install Branch Kit for Additional Cable (Large) XAGA 550 BOKT - 5M,each,$31.90,
,Supply and install Branch Kit for Additional Cable (Large) XAGA 1000 BOKT - 6M,each,$35.20,
,Supply and install Branch Kit for Additional Cable (Large) XAGA 1000 BOKT - 7L,each,$38.50,
,Removal of XAGA 550/1000 Joint Closure,each,$53.90,
,Install UCN 11-30,each,"$1,225.40",
,Enter and reseal UC/UCNP/FIST joint closure,each entry,$129.80,
,Enter UC/UCN/FIST closure; remove completely and replace closure eg XAGA 1000,per joint,$148.50,
,Hauling Copper,,,
,Rod Rope and Prove Conduit any diameter,per metre,$3.37,
,Haul Single or Multiple 2 or 5 Pairs,per metre,$3.52,
,Haul 10 to 100 Pair,per metre,$4.15,
,Rod and Rope ceiling/underfloor space,per metre,$2.92,
,Provide draw rope in riser shaft/cable race,per metre,$3.00,
,Haul Smaller than/equal to 100 pair or Optical fibre in ceiling or floor space,per metre,$8.69,
,Haul Larger then 100 pair cable in ceiling or floor space,per metre,$9.79,
,Haul Smaller than or equal to 100 pair cable or Optical fibre in riser shaft,per metre,$5.72,
,Haul Larger than 100 pair cable or Optical fibre in riser shaft,per metre,$8.69,
,Lay cable in open trench - all cable sizes,per metre,$1.71,
,Install a new temporary section of cable,per metre,$1.61,
,Recover a temporary section of cable,per metre,$1.22,
,Recover cable - Single or Multiple 2/5 Pair cables (one pull out operation),per metre,$1.42,
,Galvanised Pipe Install Telstra,,,
,Supply & install up to 50 mm GI Pipe,Supply Quote,Quote,
,Supply & install 100 mm G I Pipe,Supply Quote,Quote,
,Supply and install 100 mm GI pipe bollard and 50 mm U section bollard,each,$579.93,
,"Lead in Cable,  Pipe and Accessories",,,
,Lead in installation when a starter pipe exists,each,$241.76,
,Lead-In Pipe and Cable (2or 10 pairs) Installation Greater than 20 metres,per metre,$2.74,
,Install Customer Lightning Protection (CLP),each,$128.57,
,Install Additional Customer Lightning Protection,each,$74.04,
,Install Urban Customer Lightning Protection (CLP),each,$157.75,
,Install Rural Customer Lightning Protection (CLP),each,$175.15,
,E/O to supply/Install additional CLP Module,each,$42.94,
,Network Extension in 20mm Pipe in Contractor provided trench on public property to N.P.P.> 2m,per metre,$29.10,
,Replace Damaged or Unservicable Lead-In,each,$473.39,
,Extension of Lead-in to Network pit in excess of 20 metres and <20metres,per metre,$22.20,
,Replace Damaged/Faulty Underground Lead-In Cable (up to 20m),each,$69.94,
,Locate Blockage and Repair Lead-in Pipe (20mm),each,$60.72,
,FTTX,,,
01-01-00-02,Provision of FTTB construction planning activities,Per FTTB Cabinet,$546.89,
01-01-00-05,Pre Construction Review,Per SAM,"$6,500.00",
03-01-00-01,Pipe Proving in existing duct,Per linear metre,$3.37,
03-03-00-03,Installation of Tether fibre cable sheath in underground duct by any means,Per linear metre,$4.15,
03-03-00-04,Installation of cable sheath within a building or cable chamber,Per linear metre,$10.22,
06-03-00-01,Installation of an internal small FTTB Cabinet ,Per FTTB Cabinet,"$3,662.00",
06-03-00-02,Installation of an internal medium FTTB Cabinet ,Per FTTB Cabinet,"$4,378.26",
06-03-00-03,Installation of an internal large FTTB Cabinet ,Per FTTB Cabinet,"$5,094.54",
06-03-00-04,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre,$15.63,
06-03-00-05,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre,$29.81,
06-03-00-06,Supply and install new service earth bar,Per service earth bar,$235.57,
06-03-00-07,Supply and install new service earth stake,Per service earth stake,$200.78,
06-03-00-08,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",Per linear metre,$12.46,
06-03-00-09,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",Per linear metre,$9.98,
06-03-00-10,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block,$70.42,
06-03-00-11,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame,$140.87,
06-02-00-05/02-01,"Equipment & fibre installation, testing and commissioning of medium port Node Cabinet.
A medium port Node Cabinet is a port Node Cabinet with a capacity to serve up to 200 end user premises.",each,"$1,485.00",
10-01-01-14,Supply and install electricity connection as per design,Quote (QTY = $),Quote,
10-01-01-15,MDU Building make ready works,Quote (QTY = $),Quote,
10-01-01-16,Telecommunications service provider fees,Quote (QTY = $),Quote,
50-01-00-01,Supply & Installation of cable tray in buildings,Per linear metre,$38.36,
50-01-00-02,Supply & Installation of catenary wire system in buildings,Per linear metre,$25.39,
50-01-00-03,Supply and installation of ducting <30mm width (including the cable within the ducting),Per linear metre,$24.97,
50-01-00-04,Supply and installation of ducting >30mm width (including the cable within the ducting),Per linear metre,$44.88,
50-01-00-27,Supply and installation of ducting <30mm width ,Per linear metre,$20.48,
50-01-00-28,Supply and installation of ducting >30mm width ,Per linear metre,$40.39,
50-02-00-01,Provide a wall penetration of up to 20mm diameter in brick or concrete wall only,Each 20mm diameter wall penetration,$115.59,
50-02-00-02,Provide a wall penetration of up to 50mm diameter in brick or concrete wall only,Each 50mm diameter wall penetration,$226.46,
50-02-00-03,Provide a wall penetration of up to 100mm diameter in brick or concrete wall only,Each 100mm diameter wall penetration,$408.33,
50-02-00-04,Provide a floor penetration of up to 20mm diameter,Each 20mm floor penetration,$115.59,
50-02-00-05,Provide a floor penetration of up to 50mm diameter,Each 50mm floor penetration,$226.46,
50-02-00-06,Provide a floor penetration of up to 100mm diameter,Each 100mm floor penetration,$408.33,
,Concrete Encasement,Per meter,$71.80,
,"Provide Scoping and Design activies of NBN Greenfield Non Standard Site,  Non Metro Site",Each,$759.00,
,"Provide Scoping and Design activies of NBN Greenfield Non Standard Site,  Metro Site ",Each,$577.50,
,FttN,,,
