Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Procab,Procab - MWA,PD-02-02-01,Pre-Work Order release survey ,Per Work Order, $	448.50 ,Pre-Work Order release survey ,45151,
Procab,Procab - MWA,MD-01-01-02,Supply & Installation of cable tray in buildings,Per linear metre, $	37.95 ,Supply & Installation of cable tray in buildings,45151,
Procab,Procab - MWA,MD-01-01-02-AH,Supply & Installation of cable tray in buildings outside working hours,Per linear metre, $	53.82 ,Supply & Installation of cable tray in buildings outside working hours,45151,
Procab,Procab - MWA,MD-01-01-03,Supply and installation of ducting <30mm width ,Per linear metre, $	16.56 ,Supply and installation of ducting <30mm width ,45151,
Procab,Procab - MWA,MD-01-01-03-AH,Supply and installation of ducting <30mm width outside working hours,Per linear metre, $	33.12 ,Supply and installation of ducting <30mm width outside working hours,45151,
Procab,Procab - MWA,MD-01-01-04,Supply and installation of ducting >30mm width ,Per linear metre, $	26.22 ,Supply and installation of ducting >30mm width ,45151,
Procab,Procab - MWA,MD-01-01-04-AH,Supply and installation of ducting >30mm width outside working hours,Per linear metre, $	38.64 ,Supply and installation of ducting >30mm width outside working hours,45151,
Procab,Procab - MWA,MD-01-01-05,Supply and installation of conduit,Per linear metre, $	11.04 ,Supply and installation of conduit,45151,
Procab,Procab - MWA,MD-01-01-05-AH,Supply and installation of conduit outside working hours,Per linear metre, $	16.56 ,Supply and installation of conduit outside working hours,45151,
Procab,Procab - MWA,MD-01-01-06,Installation of One Pass Fibre Pathway in buildings,Per linear metre, $	12.08 ,Installation of One Pass Fibre Pathway in buildings,45151,
Procab,Procab - MWA,MD-01-01-06-AH,Installation of One Pass Fibre Pathway in buildings outside working hours,Per linear metre, $	18.29 ,Installation of One Pass Fibre Pathway in buildings outside working hours,45151,
Procab,Procab - MWA,MD-01-01-07,Connecting One Pass Fibre Pathway to ICD or PCD ,Each ICD or PCD, $	20.01 ,Connecting One Pass Fibre Pathway to ICD or PCD ,45151,
Procab,Procab - MWA,MD-01-01-07-AH,Connecting One Pass Fibre Pathway to ICD or PCD outside working hours,Each ICD or PCD, $	32.43 ,Connecting One Pass Fibre Pathway to ICD or PCD outside working hours,45151,
Procab,Procab - MWA,MD-01-07-01,Installation of Fibre Collector Distributor (FCD) or Fibre Distribution Terminal (FDT) or Cable Transition Location (CTL) within buildings,"Each FCD, FDT or CTL", $	59.34 ,Installation of Fibre Collector Distributor (FCD) or Fibre Distribution Terminal (FDT) or Cable Transition Location (CTL) within buildings,45151,
Procab,Procab - MWA,MD-01-07-01-AH,Installation of Fibre Collector Distributor (FCD) or Fibre Distribution Terminal (FDT) or Cable Transition Location (CTL) within buildings outside working hours,"Each FCD, FDT or CTL", $	89.70 ,Installation of Fibre Collector Distributor (FCD) or Fibre Distribution Terminal (FDT) or Cable Transition Location (CTL) within buildings outside working hours,45151,
Procab,Procab - MWA,MD-01-07-02,Installation of Premises Distribution Hub (PDH) ,Each PDH, $	111.09 ,Installation of Premises Distribution Hub (PDH) ,45151,
Procab,Procab - MWA,MD-01-07-02-AH,Installation of Premises Distribution Hub (PDH) outside working hours,Each PDH, $	130.41 ,Installation of Premises Distribution Hub (PDH) outside working hours,45151,
Procab,Procab - MWA,MD-01-07-03,Installation of Internal Connection Device (ICD) or Premises Connection Device (PCD),Each ICD or PCD, $	28.29 ,Installation of Internal Connection Device (ICD) or Premises Connection Device (PCD),45151,
Procab,Procab - MWA,MD-01-07-03-AH,Installation of Internal Connection Device (ICD) or Premises Connection Device (PCD) outside working hours,Each ICD or PCD, $	42.78 ,Installation of Internal Connection Device (ICD) or Premises Connection Device (PCD) outside working hours,45151,
Procab,Procab - MWA,MD-01-07-04,Installation of a fibre wall outlet,Per outlet, $	18.63 ,Installation of a fibre wall outlet,45151,
Procab,Procab - MWA,MD-01-07-04-AH,Installation of a fibre wall outlet outside working hours,Per outlet, $	28.29 ,Installation of a fibre wall outlet outside working hours,45151,
Procab,Procab - MWA,MD-01-07-06,Installation of apartment amplifier in buildings,Per amplifier, $	42.78 ,Installation of apartment amplifier in buildings,45151,
Procab,Procab - MWA,MD-01-07-07,Installation of MDU security enclosure,Per MDU security enclosure, $	42.78 ,Installation of MDU security enclosure,45151,
Procab,Procab - MWA,MD-01-07-08,Installation of tap in buildings,Per tap, $	50.37 ,Installation of tap in buildings,45151,
Procab,Procab - MWA,MD-01-07-09,Installation of directional coupler or splitter in buildings,Per directional coupler or splitter, $	55.89 ,Installation of directional coupler or splitter in buildings,45151,
Procab,Procab - MWA,MD-01-07-10,Extra over rate for the Installation of an isolator in buildings,Per Isolator, $	27.60 ,Extra over rate for the Installation of an isolator in buildings,45151,
Procab,Procab - MWA,MD-01-07-11,Replacement of tap in buildings ,Per Tap, $	50.37 ,Replacement of tap in buildings ,45151,
Procab,Procab - MWA,MD-01-07-12,Replacement of tap faceplate in buildings,Per face plate, $	32.43 ,Replacement of tap faceplate in buildings,45151,
Procab,Procab - MWA,MD-01-07-13,"Removal of tap, isolator, directional coupler or splitter in buildings only",Per device , $	38.64 ,"Removal of tap, isolator, directional coupler or splitter in buildings only",45151,
Procab,Procab - MWA,MD-01-07-14,Removal of an apartment amplifier in buildings,per device , $	41.40 ,Removal of an apartment amplifier in buildings,45151,
Procab,Procab - MWA,MD-01-07-15,Installation of Building Fibre Distributor (BUDI),Each BFD, $	149.73 ,Installation of Building Fibre Distributor (BUDI),45151,
Procab,Procab - MWA,MD-01-07-15-AH,Installation of Building Fibre Distributor (BUDI) outside working hours,Each BFD, $	287.04 ,Installation of Building Fibre Distributor (BUDI) outside working hours,45151,
Procab,Procab - MWA,MD-01-07-16,Installation of Splitter Distribution Terminal (SDT),Each SDT, $	103.50 ,Installation of Splitter Distribution Terminal (SDT),45151,
Procab,Procab - MWA,MD-01-07-16-AH,Installation of Splitter Distribution Terminal (SDT) outside working hours,Each SDT, $	155.25 ,Installation of Splitter Distribution Terminal (SDT) outside working hours,45151,
Procab,Procab - MWA,MD-01-07-17,Installation of additional NG4 tray,per device , $	24.15 ,Installation of additional NG4 tray,45151,
Procab,Procab - MWA,MD-01-07-18,Installation of additional OCM-6 module,per device , $	24.15 ,Installation of additional OCM-6 module,45151,
Procab,Procab - MWA,MD-01-07-19,Installation of additional PCD splice tray,per device , $	24.15 ,Installation of additional PCD splice tray,45151,
Procab,Procab - MWA,MD-01-08-01,Provide a wall penetration in brick or concrete wall only,Each wall penetration, $	95.22 ,Provide a wall penetration in brick or concrete wall only,45151,
Procab,Procab - MWA,MD-01-08-01-AH,Provide a wall penetration in brick or concrete wall only outside working hours,Each wall penetration, $	155.25 ,Provide a wall penetration in brick or concrete wall only outside working hours,45151,
Procab,Procab - MWA,MD-01-08-02,Provide a wall penetration in a plasterboard wall only,Each wall penetration, $	13.80 ,Provide a wall penetration in a plasterboard wall only,45151,
Procab,Procab - MWA,MD-01-08-02-AH,Provide a wall penetration in a plasterboard wall only outside working hours,Each wall penetration, $	17.94 ,Provide a wall penetration in a plasterboard wall only outside working hours,45151,
Procab,Procab - MWA,MD-01-08-03,Provide a floor penetration above 50mm diameter,Each floor penetration, $	307.05 ,Provide a floor penetration above 50mm diameter,45151,
Procab,Procab - MWA,MD-01-08-03-AH,Provide a floor penetration above 50mm diameter outside working hours,Each floor penetration, $	398.82 ,Provide a floor penetration above 50mm diameter outside working hours,45151,
Procab,Procab - MWA,MD-01-08-04,Provide a floor penetration up to and including 50mm diameter,Each floor penetration, $	174.57 ,Provide a floor penetration up to and including 50mm diameter,45151,
Procab,Procab - MWA,MD-01-08-04-AH,Provide a floor penetration up to and including 50mm diameter outside working hours,Each floor penetration, $	308.43 ,Provide a floor penetration up to and including 50mm diameter outside working hours,45151,
Procab,Procab - MWA,MD-01-08-05,Supply and installation of appropriate fire stopping method as required,Per Penetration, $	34.50 ,Supply and installation of appropriate fire stopping method as required,45151,
Procab,Procab - MWA,MD-01-08-05-AH,Supply and installation of appropriate fire stopping method as required outside working hours,Per Penetration, $	46.58 ,Supply and installation of appropriate fire stopping method as required outside working hours,45151,
Procab,Procab - MWA,MD-02-01-01,Installation of a single service drop sheath (SDS) on a single span to a multi dwelling unit,Per aerial service drop, $	148.35 ,Installation of a single service drop sheath (SDS) on a single span to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-01-02,Extra over rate for additional spans for an aerial service drop to a multi dwelling unit,Each additional Span, $	86.25 ,Extra over rate for additional spans for an aerial service drop to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-01-03,Extra over rate for supply and installation of an raiser pole on a building.,Each raiser pole installed, $	65.55 ,Extra over rate for supply and installation of an raiser pole on a building.,45151,
Procab,Procab - MWA,MD-02-01-04,Installation of service drop sheath underground to a multi dwelling unit,Per service drop, $	148.35 ,Installation of service drop sheath underground to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-01-05,Installation of direct service drop sheath underground to a multi dwelling unit,Per direct service drop, $	172.50 ,Installation of direct service drop sheath underground to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-01-10,Extend a developer supplied MDU lead-in starter pipe to the nominated network pit,Per Starter Pipe, $	155.25 ,Extend a developer supplied MDU lead-in starter pipe to the nominated network pit,45151,
Procab,Procab - MWA,MD-02-02-01,Replace existing copper aerial lead-in with new copper aerial lead-in to a multi dwelling unit,Per existing copper aerial lead-in replaced. Per Span,182.85,Replace existing copper aerial lead-in with new copper aerial lead-in to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-02-02,Installation of aerial copper service drop to a multi dwelling unit,Per aerial copper service drop,207,Installation of aerial copper service drop to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-02-03,Installation of non-aerial copper service drop to a multi dwelling unit,Per non-aerial copper service drop,103.5,Installation of non-aerial copper service drop to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-03-01,Installation of a coaxial drop cable on a single span to a multi dwelling unit,Per aerial service drop,193.2,Installation of a coaxial drop cable on a single span to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-03-02,Extra over rate for installation of a new coaxial drop cable in-span to a multi dwelling unit,Per in-span Drop,103.5,Extra over rate for installation of a new coaxial drop cable in-span to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-03-03,Extra over rate for additional spans for a aerial coaxial service drop to a multi dwelling unit,Each additional Span,96.6,Extra over rate for additional spans for a aerial coaxial service drop to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-03-04,Installation of non-aerial coaxial service drop to a multi dwelling unit,Per coaxial service drop,124.2,Installation of non-aerial coaxial service drop to a multi dwelling unit,45151,
Procab,Procab - MWA,MD-02-03-05,Extra over for supply and Installation of rooftop raiser on a building,Per raiser pole installed,62.1,Extra over for supply and Installation of rooftop raiser on a building,45151,
Procab,Procab - MWA,MD-03-01-01,FTTP MDU In-building Cabling (1-10 Premises),Per EUP,196.65,FTTP MDU In-building Cabling (1-10 Premises),45151,
Procab,Procab - MWA,MD-03-01-02,FTTP MDU In-building Cabling (11- 30 Premises),Per EUP,165.6,FTTP MDU In-building Cabling (11- 30 Premises),45151,
Procab,Procab - MWA,MD-03-01-03,FTTP MDU In-building Cabling (31- 60 Premises),Per EUP,158.7,FTTP MDU In-building Cabling (31- 60 Premises),45151,
Procab,Procab - MWA,MD-03-01-04,FTTP MDU In-building Cabling (61- 100 Premises),Per EUP,158.7,FTTP MDU In-building Cabling (61- 100 Premises),45151,
Procab,Procab - MWA,MD-03-01-05,FTTP MDU In-building Cabling (101- 150 Premises),Per EUP,151.8,FTTP MDU In-building Cabling (101- 150 Premises),45151,
Procab,Procab - MWA,MD-03-01-06,FTTP MDU In-building Cabling (151- 200 Premises),Per EUP,151.8,FTTP MDU In-building Cabling (151- 200 Premises),45151,
Procab,Procab - MWA,MD-03-01-07,FTTP MDU In-building Cabling (200+ Premises),Per EUP,138,FTTP MDU In-building Cabling (200+ Premises),45151,
Procab,Procab - MWA,MD-03-02-01,Separable Portion Documentation Fee,Per Separable Portion,110.4,Separable Portion Documentation Fee,45151,
Procab,Procab - MWA,MD-03-02-02,Installation of Splitter for RF / Wired TV ,Per EUP,27.6,Installation of Splitter for RF / Wired TV ,45151,
Procab,Procab - MWA,MD-03-02-03,Extra-over for Installation of Fibre TV receiver co-located with an NTD,Per EUP,13.8,Extra-over for Installation of Fibre TV receiver co-located with an NTD,45151,
Procab,Procab - MWA,MD-03-03-01,FTTP HMDU In-building Cabling (1-10 Premises),Per EUP,234.6,FTTP HMDU In-building Cabling (1-10 Premises),45151,
Procab,Procab - MWA,MD-03-03-02,FTTP HMDU In-building Cabling (11- 30 Premises),Per EUP,189.75,FTTP HMDU In-building Cabling (11- 30 Premises),45151,
Procab,Procab - MWA,MD-03-03-03,FTTP HMDU In-building Cabling (31- 60 Premises),Per EUP,182.85,FTTP HMDU In-building Cabling (31- 60 Premises),45151,
Procab,Procab - MWA,MD-03-03-04,FTTP HMDU In-building Cabling (61- 100 Premises),Per EUP,158.7,FTTP HMDU In-building Cabling (61- 100 Premises),45151,
Procab,Procab - MWA,MD-03-03-05,FTTP HMDU In-building Cabling (101- 150 Premises),Per EUP,151.8,FTTP HMDU In-building Cabling (101- 150 Premises),45151,
Procab,Procab - MWA,MD-03-03-06,FTTP HMDU In-building Cabling (151- 200 Premises),Per EUP,151.8,FTTP HMDU In-building Cabling (151- 200 Premises),45151,
Procab,Procab - MWA,MD-03-03-07,FTTP HMDU In-building Cabling (200+ Premises),Per EUP,138,FTTP HMDU In-building Cabling (200+ Premises),45151,
Procab,Procab - MWA,SD-01-01-01,"Extra over rate for the supply and install of new lead-in pipe, minimum charge 6 metres route length, by any means",Per linear metre,44.85,"Extra over rate for the supply and install of new lead-in pipe, minimum charge 6 metres route length, by any means",45151,
Procab,Procab - MWA,SD-01-01-02,Extra over rate for supply and installation of an raiser pole on a building.,Per raiser pole,72.45,Extra over rate for supply and installation of an raiser pole on a building.,45151,
Procab,Procab - MWA,SD-01-01-03,Supply and install of Y connectors ,Per Y connector ,103.5,Supply and install of Y connectors ,45151,
Procab,Procab - MWA,SD-01-01-04,Supply and install new lead-in starter pipe,Per Starter Pipe,113.85,Supply and install new lead-in starter pipe,45151,
Procab,Procab - MWA,SD-01-01-05,Extra over rate for the supply and install of new lead-in starter pipe greater than 2 meters in length,Per linear metre,37.95,Extra over rate for the supply and install of new lead-in starter pipe greater than 2 meters in length,45151,
Procab,Procab - MWA,SD-01-02-01,Extra over rate to repair lead-in conduit,Per repaired lead-in conduit,96.6,Extra over rate to repair lead-in conduit,45151,
Procab,Procab - MWA,SD-02-01-01,Installation of a single service drop sheath on a single span to a single dwelling unit,Per aerial service drop,172.5,Installation of a single service drop sheath on a single span to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-01-02,Extra over rate for additional spans for an aerial service drop to a single dwelling unit,Each additional Span,86.25,Extra over rate for additional spans for an aerial service drop to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-01-03,Installation of service drop sheath underground to a single dwelling unit,Per service drop,124.2,Installation of service drop sheath underground to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-01-04,Installation of direct service drop sheath underground to a single dwelling unit,Per direct service drop,218.04,Installation of direct service drop sheath underground to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-02-01,Replace existing copper aerial lead-in with new copper aerial lead-in to a single dwelling unit,Per existing copper aerial lead-in replaced. Per Span,172.5,Replace existing copper aerial lead-in with new copper aerial lead-in to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-02-02,Installation of aerial copper service drop to a single dwelling unit,Per aerial copper service drop,165.6,Installation of aerial copper service drop to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-02-03,Installation of non-aerial copper service drop to a single dwelling unit,Per non-aerial copper service drop,113.85,Installation of non-aerial copper service drop to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-02-04,Extra over rate for installation of a new copper drop cable in-span to a single dwelling unit,Per in-span Drop,86.25,Extra over rate for installation of a new copper drop cable in-span to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-03-01,Installation of a coaxial drop cable on a single span to a single dwelling unit,Per aerial service drop,165.6,Installation of a coaxial drop cable on a single span to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-03-02,Extra over rate for installation of a new coaxial drop cable in-span to a single dwelling unit,Per in-span Drop,82.8,Extra over rate for installation of a new coaxial drop cable in-span to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-03-03,Extra over rate for additional spans for a aerial coaxial service drop to a single dwelling unit,Each additional Span,96.6,Extra over rate for additional spans for a aerial coaxial service drop to a single dwelling unit,45151,
Procab,Procab - MWA,SD-02-03-04,Installation of non-aerial coaxial service drop to a single dwelling unit,Per coaxial service drop,124.2,Installation of non-aerial coaxial service drop to a single dwelling unit,45151,
Procab,Procab - MWA,CC-01-01-01,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",Per device,98.67,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",45151,
Procab,Procab - MWA,CC-01-01-02,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a rack mounted environment",Per device,106.95,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a rack mounted environment",45151,
Procab,Procab - MWA,CC-01-01-03,"Installation, commissioning and activation of a GPON B-NTD in a wall mounted environment",Per device,98.67,"Installation, commissioning and activation of a GPON B-NTD in a wall mounted environment",45151,
Procab,Procab - MWA,CC-01-01-04,"Installation, commissioning and activation of a GPON B-NTD in a rack mounted environment",Per device,93.15,"Installation, commissioning and activation of a GPON B-NTD in a rack mounted environment",45151,
Procab,Procab - MWA,CC-01-01-05,Installation of battery back-up unit in conjunction with NTD installation ,Per Battery Backup Device,19.32,Installation of battery back-up unit in conjunction with NTD installation ,45151,
Procab,Procab - MWA,CC-01-01-06,Installation of a Fibre TV Receiver (TVR) co-located with an NTD,Per device ,44.85,Installation of a Fibre TV Receiver (TVR) co-located with an NTD,45151,
Procab,Procab - MWA,CC-01-02-01,"Installation, commissioning and integration of a R-NTD in a wall mounted environment",Per device ,98.67,"Installation, commissioning and integration of a R-NTD in a wall mounted environment",45151,
Procab,Procab - MWA,CC-01-02-02,"Installation, commissioning and integration of a R-NTD in a rack mounted environment",Per device ,124.2,"Installation, commissioning and integration of a R-NTD in a rack mounted environment",45151,
Procab,Procab - MWA,CC-01-02-03,Internal wiring from exterior termination outlet enclosure to internal wall plate/TO,Per wall plate,96.6,Internal wiring from exterior termination outlet enclosure to internal wall plate/TO,45151,
Procab,Procab - MWA,CC-02-01-01,Replace existing lead in termination enclosure ,Per enclosure,51.75,Replace existing lead in termination enclosure ,45151,
Procab,Procab - MWA,CC-03-01-01,Remove existing aerial lead in equipment from lead-in termination enclosure to NTD ,Per NTD,74.52,Remove existing aerial lead in equipment from lead-in termination enclosure to NTD ,45151,
Procab,Procab - MWA,CC-03-01-02,Remove existing non-aerial lead in equipment from lead-in termination enclosure to NTD ,Per NTD,55.2,Remove existing non-aerial lead in equipment from lead-in termination enclosure to NTD ,45151,
Procab,Procab - MWA,SA-01-01-01,Service activation Pre-Scope ,Per Work Order,41.4,Service activation Pre-Scope ,45151,
Procab,Procab - MWA,SA-01-03-01,FTTN service activation,Per Service ,86.25,FTTN service activation,45151,
Procab,Procab - MWA,SA-01-03-02,Extra over Service jumpering in a pillar,Per service,15.525,Extra over Service jumpering in a pillar,45151,
Procab,Procab - MWA,SA-01-03-03,Installation of Central Splitter only,Per Central Splitter,31.05,Installation of Central Splitter only,45151,
Procab,Procab - MWA,SA-01-03-04,Joint pair connection at Compact Sealed DSLAM (CSD),Per Pair Connection,17.25,Joint pair connection at Compact Sealed DSLAM (CSD),45151,
Procab,Procab - MWA,SA-01-05-01,Installation of HFC Modem and test,Per HFC Modem ,51.75,Installation of HFC Modem and test,45151,
Procab,Procab - MWA,SA-02-01-01,FTTP Service Assurance,Per Work Order,131.1,FTTP Service Assurance,45151,
Procab,Procab - MWA,SA-02-02-01,FTTN Service Assurance - SDU,Per Work Order,144.9,FTTN Service Assurance - SDU,45151,
Procab,Procab - MWA,SA-02-02-02,FTTN Service Assurance - MDU,Per Work Order,144.9,FTTN Service Assurance - MDU,45151,
Procab,Procab - MWA,SA-02-03-01,FTTB Service Assurance,Per Work Order,131.1,FTTB Service Assurance,45151,
Procab,Procab - MWA,SA-02-04-01,HFC Service Assurance - SDU,Per Work Order,131.1,HFC Service Assurance - SDU,45151,
Procab,Procab - MWA,SA-02-04-02,HFC Service Assurance - MDU,Per Work Order,131.1,HFC Service Assurance - MDU,45151,
Procab,Procab - MWA,SA-02-04-03,Extra over installation of an inline step attenuator to a new or existing PCD,Per attenuator,34.5,Extra over installation of an inline step attenuator to a new or existing PCD,45151,
Procab,Procab - MWA,SA-02-04-04,"Extra over Installation of a Band stop filter in a new or existing PCD
",Per band stop filter,34.5,"Extra over Installation of a Band stop filter in a new or existing PCD
",45151,
Procab,Procab - MWA,SA-02-04-05,"Removal of a Band stop filter in a new or existing PCD
",Per band stop filter,37.95,"Removal of a Band stop filter in a new or existing PCD
",45151,
Procab,Procab - MWA,SA-02-05-01,FTTC Service Assurance,Per Work Order,131.1,FTTC Service Assurance,45151,
Procab,Procab - MWA,SA-02-06-03,Extra Over On-premises Service Assurance,Per Work Order,58.65,Extra Over On-premises Service Assurance,45151,
Procab,Procab - MWA,SA-02-06-04,On-premises Service Assurance,Per Work Order,87.63,On-premises Service Assurance,45151,
Procab,Procab - MWA,CF-01-02-20,Project management fees for design management for Work Order design fees less than or equal to $500,Per Work Order,58.65,Project management fees for design management for Work Order design fees less than or equal to $500,45151,
Procab,Procab - MWA,CF-01-02-21,"Project management fees for design management for Work Order design fees greater than $500 and less than or equal to $2,000",Per Work Order,103.5,"Project management fees for design management for Work Order design fees greater than $500 and less than or equal to $2,000",45151,
Procab,Procab - MWA,CF-01-02-22,"Project management fees for design management for Work Order design fees  greater than $2,000 and less than or equal to $5,000",Per Work Order,172.5,"Project management fees for design management for Work Order design fees  greater than $2,000 and less than or equal to $5,000",45151,
Procab,Procab - MWA,CF-01-02-23,"Project management fees for design management for Work Order design fees greater than $5,000 and less than or equal to $10,000",Per Work Order,317.4,"Project management fees for design management for Work Order design fees greater than $5,000 and less than or equal to $10,000",45151,
Procab,Procab - MWA,CF-01-02-24,"Project management fees for design management for Work Order design fees greater than $10,000 and less than or equal to $20,000",Per Work Order,400.2,"Project management fees for design management for Work Order design fees greater than $10,000 and less than or equal to $20,000",45151,
Procab,Procab - MWA,CF-01-02-25,"Project management fees for design management for Work Order design fees greater than $20,000 and less than or equal to $50,000",Per Work Order,586.5,"Project management fees for design management for Work Order design fees greater than $20,000 and less than or equal to $50,000",45151,
Procab,Procab - MWA,CF-01-02-26,"Project management fees for design management for Work Order design fees greater than $50,000 ",Per Quote,Quote,"Project management fees for design management for Work Order design fees greater than $50,000 ",45151,
Procab,Procab - MWA,CF-01-02-30,Project management fees for construction management for Work Order less than or equal to $500,Per Work Order,86.25,Project management fees for construction management for Work Order less than or equal to $500,45151,
Procab,Procab - MWA,CF-01-02-31,"Project management fees for construction management for Work Order greater than $500 and less than or equal to $2,000",Per Work Order,241.5,"Project management fees for construction management for Work Order greater than $500 and less than or equal to $2,000",45151,
Procab,Procab - MWA,CF-01-02-32,"Project management fees for construction management for Work Order greater than $2,000 and less than or equal to $5,000",Per Work Order,345,"Project management fees for construction management for Work Order greater than $2,000 and less than or equal to $5,000",45151,
Procab,Procab - MWA,CF-01-02-33,"Project management fees for construction management for Work Order greater than $5,000 and less than or equal to $10,000",Per Work Order,621,"Project management fees for construction management for Work Order greater than $5,000 and less than or equal to $10,000",45151,
Procab,Procab - MWA,CF-01-02-34,"Project management fees for construction management for Work Order greater than $10,000 and less than or equal to $20,000",Per Work Order,1069.5,"Project management fees for construction management for Work Order greater than $10,000 and less than or equal to $20,000",45151,
Procab,Procab - MWA,CF-01-02-35,"Project management fees for construction management for Work Order greater than $20,000 and less than or equal to $50,000",Per Work Order,2829,"Project management fees for construction management for Work Order greater than $20,000 and less than or equal to $50,000",45151,
Procab,Procab - MWA,CF-01-02-36,"Project management fees for construction management for Work Order greater than $50,000 and less than or equal to $100,000",Per Work Order,4830,"Project management fees for construction management for Work Order greater than $50,000 and less than or equal to $100,000",45151,
Procab,Procab - MWA,CF-01-02-37,"Project management fees for construction management for Work Order greater than $100,000",Per Quote,Quote,"Project management fees for construction management for Work Order greater than $100,000",45151,
Procab,Procab - MWA,CF-02-02-01,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 2,Per Work Order,379.5,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 2,45151,
Procab,Procab - MWA,CF-02-02-02,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 3,Per Work Order,552,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 3,45151,
Procab,Procab - MWA,CF-02-02-03,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 4,Quote,Quote,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 4,45151,
Procab,Procab - MWA,CF-02-02-04,Mobilisation Fee for Construction Works for a Work Order located in Zone 2,Per Work Order,800.4,Mobilisation Fee for Construction Works for a Work Order located in Zone 2,45151,
Procab,Procab - MWA,CF-02-02-05,Mobilisation Fee for Construction Works for a Work Order located in Zone 3,Per Work Order,1507.65,Mobilisation Fee for Construction Works for a Work Order located in Zone 3,45151,
Procab,Procab - MWA,CF-02-02-06,Mobilisation Fee for Construction Works for a Work Order located in Zone 4,Quote,Quote,Mobilisation Fee for Construction Works for a Work Order located in Zone 4,45151,
Procab,Procab - MWA,CF-02-02-07,"Mobilisation Fee for Construction Works for a Work Order located in Zone 2 in excess of $10,000 in Construction value",Per Work Order,600.3,"Mobilisation Fee for Construction Works for a Work Order located in Zone 2 in excess of $10,000 in Construction value",45151,
Procab,Procab - MWA,CF-02-02-08,"Mobilisation Fee for Construction Works for a Work Order located in Zone 3 in excess of $10,000 in Construction value",Per Work Order,1131.6,"Mobilisation Fee for Construction Works for a Work Order located in Zone 3 in excess of $10,000 in Construction value",45151,
Procab,Procab - MWA,CF-02-08-01,Mobilisation Fee for Cancellation of a Work Order located in Zone 1,Per Work Order,103.5,Mobilisation Fee for Cancellation of a Work Order located in Zone 1,45151,
Procab,Procab - MWA,CF-02-08-02,Mobilisation Fee for Cancellation of a Work Order located in Zone 2,Per Work Order,138,Mobilisation Fee for Cancellation of a Work Order located in Zone 2,45151,
Procab,Procab - MWA,CF-02-08-03,Mobilisation Fee for Cancellation of a Work Order located in Zone 3,Per Work Order,345,Mobilisation Fee for Cancellation of a Work Order located in Zone 3,45151,
Procab,Procab - MWA,CF-02-08-04,Mobilisation Fee for Cancellation of a Work Order located in Zone 4,Quote,Quote,Mobilisation Fee for Cancellation of a Work Order located in Zone 4,45151,
Procab,Procab - MWA,CF-03-02-01,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 2,per day / per person,172.5,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 2,45151,
Procab,Procab - MWA,CF-03-02-02,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 3,per day / per person,172.5,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 3,45151,
Procab,Procab - MWA,CF-03-02-03,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 4,Quote,Quote,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 4,45151,
Procab,Procab - MWA,PS-01-01-01,Telecommunications service provider fees,Amount of the fee,0,Telecommunications service provider fees,45151,
Procab,Procab - MWA,PS-01-01-02,Pole make ready works,Cost of pole make ready works,0,Pole make ready works,45151,
Procab,Procab - MWA,PS-01-01-03,Supply and install standard GPO as per design ,Cost of GPO installation,0,Supply and install standard GPO as per design ,45151,
